"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"GSE125881",20107,577,184,77,848,61,81,175,67,29,89,141,78
"GSE136874",14563,449,146,62,723,60,70,159,59,28,79,134,71
"GSE136184",10098,247,71,25,544,57,49,140,43,23,68,133,43
"GSE126030",60725,620,195,81,1205,61,89,191,75,29,97,140,78
"GSE120575",5000,138,45,17,320,37,36,74,25,17,44,110,36
"GSE146264",31775,604,192,79,1069,61,89,199,77,29,98,145,76
"GSE151511",32740,613,193,79,1030,61,87,189,75,29,93,139,78
"GSE153931",13816,447,142,58,701,60,67,155,56,29,82,136,73
"GSE160160",33538,623,195,82,1011,61,89,193,75,29,98,143,78
"GSE196606",16475,593,189,79,906,61,84,179,73,29,92,145,77
"GSE207935",25152,593,187,80,923,61,84,182,74,29,93,145,78
"Zenodo3993994",15776,500,160,62,778,60,75,169,62,29,88,143,76
"mdandersonTCM",70777,629,199,83,1210,61,89,194,75,29,97,143,77
