"","PC1"
"APBB2",0.0314112379635893
"ATF3",0.0255723815296645
"ATP9A",0.00322953465000728
"BMF",0.0113541567910195
"BTNL8",0.00543026741555481
"CARMIL3",0.0139977589870921
"CCDC6",0.0199074022323557
"CCL22",0.0040174558634114
"COL9A2",0.00194544809560618
"DMD",0.0120266548456789
"DUSP5",0.0067685948564602
"ELL2",0.0213332461749027
"EPAS1",0.00360674210252443
"GNAI1",0.0182213057205773
"GNLY",0.0155465375382092
"HMSD",0.00603711680913058
"IFNG",0.0068446284234303
"IGLON5",0.0229324072736865
"ING3",0.0371368959434089
"IQCJ.SCHIP1",0.0189500381516233
"ITPRIPL2",0.00663799471900381
"LMNA",0.00476766609531702
"MAP1LC3A",0.00802884821617995
"MICALCL",0.00232070250124499
"MTSS1",0.00405647928490406
"MYH6",0.00656118052293116
"NCALD",0.0106138973429857
"PDLIM4",0.00571772901900624
"PLS3",0.00875208440389408
"PMCH",0.0224043812474806
"POU2AF1",7.37614850540288e-05
"PPARG",0.00564154045462419
"PTGS2",0.00809911159801119
"PTPN3",0.0287358126389673
"RDH10",0.016574957277303
"RGCC",0.0058692888543671
"RNF19B",0.0384778760887523
"RRAD",0.0302970881289882
"SGPP2",0.0170398862930713
"SHC4",0.012419539830835
"SHF",0.0201467838300437
"SNAP25",0.00857239560903156
"TIAM2",0.00223041872006995
"TIE1",0.0219016789211923
"TNFRSF4",0.000321217324822744
"TNIP3",0.0180192340154005
"TP63",0.0179084251754571
"UBXN10",0.0153264769605109
"WLS",7.6877750150748e-05
"ZC3H12C",0.0127658467565501
"ZC3H12D",0.000815491277956818
"ZNF282",0.00998791424668186
